address,speed,heading,timestamp,rssi,receiver,callsign,altitude,latitude,longitude,distance
4079F7,,,2025-05-24T21:57:26.00372566+02:00,-503.0678880628339,zi-5067,,37975.0,52.21193,6.47705,26.121659675989488
4850F6,,,2025-05-24T21:57:26.439367828+02:00,-305.4912437370341,zi-5067,,24325.0,52.0995,6.53893,26.723085247138325
4079F7,,,2025-05-24T21:57:27.091961233+02:00,-616.5890446642723,zi-5067,,37975.0,52.21165,6.474,26.33169053705693
71C391,,,2025-05-24T21:57:27.746963047+02:00,-80.76447238730654,zi-5067,,21925.0,51.79877,6.16364,68.21877751124275
4079F7,,,2025-05-24T21:57:27.96781671+02:00,-736.3449938717584,zi-5067,,37975.0,52.21138,6.47125,26.52129625427608
4850F6,,,2025-05-24T21:57:28.511621732+02:00,-178.04943133860326,zi-5067,,24375.0,52.09787,6.54589,26.445476157099403
4079F7,,,2025-05-24T21:57:28.952179113+02:00,-742.6501868309198,zi-5067,,37975.0,52.21108,6.46804,26.742422097133467
4850F6,,,2025-05-24T21:57:29.606048177+02:00,-267.813087805656,zi-5067,,24400.0,52.09694,6.54981,26.292942339041865
485A81,,,2025-05-24T21:57:29.713429282+02:00,-74.07833691437733,zi-5067,,19850.0,52.35809,6.30989,39.55436622386141
4079F7,,,2025-05-24T21:57:29.935042624+02:00,-672.9010699946909,zi-5067,,37975.0,52.21078,6.46515,26.941903462998248
4850F6,,,2025-05-24T21:57:30.586939518+02:00,-92.50837799896829,zi-5067,,24425.0,52.09616,6.55312,26.165533214542855
4079F7,,,2025-05-24T21:57:31.023715957+02:00,-685.1994964971881,zi-5067,,38000.0,52.21046,6.4621,27.152479471396592
4850F6,,,2025-05-24T21:57:31.461014805+02:00,-223.90969161695529,zi-5067,,24450.0,52.09545,6.55617,26.04896583983316
71C391,,,2025-05-24T21:57:31.899392821+02:00,-90.57234677317354,zi-5067,,22000.0,51.79323,6.17386,68.18206534707794
4079F7,,,2025-05-24T21:57:32.006969646+02:00,-668.9692818059735,zi-5067,,38000.0,52.21019,6.45905,27.362394780428215
4850F6,,,2025-05-24T21:57:32.555305852+02:00,-97.01572037561748,zi-5067,,24475.0,52.09447,6.56017,25.901563542594193
71C391,,,2025-05-24T21:57:32.882234976+02:00,-94.98368280920675,zi-5067,,22025.0,51.79188,6.1763,68.17739039653507
4079F7,,,2025-05-24T21:57:32.883827577+02:00,-569.1834941387532,zi-5067,,38000.0,52.20992,6.45619,27.559460045965118
4850F6,,,2025-05-24T21:57:33.537524484+02:00,-247.0975515864129,zi-5067,,24500.0,52.09368,6.56355,25.776291158386265
4079F7,,,2025-05-24T21:57:33.973646341+02:00,-496.0389097641434,zi-5067,,37975.0,52.20959,6.45294,27.783711822346127
4D2417,,,2025-05-24T21:57:34.302476734+02:00,-74.74657182774337,zi-5067,,20300.0,52.1543,5.82466,71.05596232872999
4079F7,,,2025-05-24T21:57:34.848528413+02:00,-388.2796672502952,zi-5067,,38000.0,52.20932,6.4502,27.972667246387456
4850F6,,,2025-05-24T21:57:35.505753433+02:00,-170.4020246358593,zi-5067,,24550.0,52.09204,6.57059,25.5206422842607
4079F7,,,2025-05-24T21:57:35.831652128+02:00,-298.0081374727878,zi-5067,,37975.0,52.20903,6.44733,28.170688038660078
71C391,,,2025-05-24T21:57:36.160331052+02:00,-96.64703823708206,zi-5067,,22100.0,51.78749,6.18434,68.16236889269092
4850F6,,,2025-05-24T21:57:37.57756986+02:00,-141.07710657651015,zi-5067,,24575.0,52.09037,6.57751,25.281198736102453
4079F7,,,2025-05-24T21:57:37.798775243+02:00,-333.6774640277644,zi-5067,,37975.0,52.20847,6.44121,28.592171648620234
4850F6,,,2025-05-24T21:57:38.45375331+02:00,-207.5687837802207,zi-5067,,24600.0,52.08963,6.58073,25.169752910806594
4079F7,,,2025-05-24T21:57:38.782620915+02:00,-227.8440255964593,zi-5067,,37975.0,52.2082,6.43815,28.802781960225076
4850F6,,,2025-05-24T21:57:39.435279751+02:00,-135.69653643332242,zi-5067,,24625.0,52.08884,6.58409,25.056591541951793
4079F7,,,2025-05-24T21:57:39.874954191+02:00,-149.95299263435857,zi-5067,,37975.0,52.20787,6.43485,29.03044003258116
71C391,,,2025-05-24T21:57:40.093437869+02:00,-101.2724049284898,zi-5067,,22225.0,51.78229,6.19385,68.15536327456986
4850F6,,,2025-05-24T21:57:40.420498615+02:00,-159.16736474541506,zi-5067,,24650.0,52.08795,6.58764,24.94324164185395
44CE6C,,,2025-05-24T21:57:40.638522713+02:00,-76.31644645815213,zi-5067,,38550.0,52.15829,5.61386,85.26594162194644
4079F7,,,2025-05-24T21:57:40.964137476+02:00,-122.6892415821371,zi-5067,,37975.0,52.20753,6.43158,29.25621033232732
71C391,,,2025-05-24T21:57:41.184657737+02:00,-84.82982965914762,zi-5067,,22250.0,51.78081,6.19651,68.15750654809757
4850F6,,,2025-05-24T21:57:41.5105125+02:00,-206.21299668061656,zi-5067,,24675.0,52.08711,6.59125,24.825333342226347
44CE6C,,,2025-05-24T21:57:41.513898352+02:00,-79.52358140828417,zi-5067,,38550.0,52.15955,5.6159,85.11183695508659
4079F7,,,2025-05-24T21:57:41.840301705+02:00,-121.67703152197625,zi-5067,,37975.0,52.20731,6.42883,29.445182957200835
4850F6,,,2025-05-24T21:57:42.387724019+02:00,-139.5505284834135,zi-5067,,24700.0,52.08632,6.59462,24.71772968002377
44CE6C,,,2025-05-24T21:57:42.602737145+02:00,-70.29864863566013,zi-5067,,38575.0,52.16094,5.61817,84.94072582077551
4079F7,,,2025-05-24T21:57:43.039909807+02:00,-224.25677247298464,zi-5067,,37975.0,52.20694,6.42535,29.68557229976385
4850F6,,,2025-05-24T21:57:43.47817268+02:00,-160.205336989752,zi-5067,,24700.0,52.08545,6.59828,24.604043715234994
44CE6C,,,2025-05-24T21:57:43.586859735+02:00,-67.22053257747963,zi-5067,,38575.0,52.16234,5.62045,84.76904373513356
4079F7,,,2025-05-24T21:57:43.91259745+02:00,-220.35675619322407,zi-5067,,37975.0,52.20671,6.42281,29.860484197724013
71C391,,,2025-05-24T21:57:44.243563892+02:00,-85.50350869993582,zi-5067,,22350.0,51.77682,6.20386,68.1596079089781
