,address,speed,heading,timestamp,rssi,receiver,callsign,altitude,latitude,longitude,distance
7449,4841A5,,,2025-05-25T10:36:42.954240718+02:00,-116.98653768703475,zi-5110,,27975.0,52.2365,6.93426,5.200302749503641
2017,4081E1,,,2025-05-25T10:14:00.243430234+02:00,-47.39778475836186,zi-5110,,23000.0,52.19907,6.89761,5.195653249572777
6984,48418D,,,2025-05-25T10:35:30.537181611+02:00,-94.94340419428828,zi-5110,,27425.0,52.28426,6.83922,5.192445179878285
6753,48418D,,,2025-05-25T10:34:47.284738477+02:00,-129.69117163477242,zi-5110,,27950.0,52.23729,6.93402,5.17996971531933
15660,4BB02A,,,2025-05-25T11:30:22.852197968+02:00,-78.75023809487817,zi-5110,,25300.0,52.2236,6.92939,5.154699260410266
2011,4081E1,,,2025-05-25T10:13:59.366972605+02:00,-47.93276541156373,zi-5110,,23000.0,52.19847,6.89438,5.14322243547256
4544,48520D,,,2025-05-25T10:24:58.878078128+02:00,-124.80144229935806,zi-5110,,25600.0,52.28384,6.83993,5.135409033514103
5939,46B82F,,,2025-05-25T10:31:24.779598376+02:00,-45.64372903258453,zi-5110,,25225.0,52.26118,6.7926,5.089604481312439
7455,4841A5,,,2025-05-25T10:36:43.828109387+02:00,-181.94532145674972,zi-5110,,27975.0,52.23752,6.93222,5.056575749364296
11353,48978A,,,2025-05-25T10:58:11.28536119+02:00,-245.32131990513992,zi-5110,,25875.0,52.27295,6.90734,5.05271426401149
4163,48520D,,,2025-05-25T10:24:15.301475427+02:00,-238.68829045430772,zi-5110,,26875.0,52.23799,6.93206,5.044225787023835
11876,502D29,,,2025-05-25T11:00:30.109377889+02:00,-44.655346824316574,zi-5110,,26500.0,52.229,6.78581,5.04032290646253
6980,48418D,,,2025-05-25T10:35:29.444868565+02:00,-86.77643689389419,zi-5110,,27450.0,52.2831,6.84158,5.0294223161994935
6762,48418D,,,2025-05-25T10:34:48.374716982+02:00,-159.21542010747578,zi-5110,,27925.0,52.23845,6.93167,5.01676588590626
11350,48978A,,,2025-05-25T10:58:10.845847495+02:00,-38.55710051339442,zi-5110,,25875.0,52.2729,6.90601,4.988799976223112
4538,48520D,,,2025-05-25T10:24:57.788626007+02:00,-131.3226941545139,zi-5110,,25625.0,52.28275,6.84212,4.983385975216938
4168,48520D,,,2025-05-25T10:24:15.846842694+02:00,-32.99772719445993,zi-5110,,26850.0,52.23857,6.93092,4.965547036282228
7465,4841A5,,,2025-05-25T10:36:44.81076673+02:00,-177.80579293150151,zi-5110,,27975.0,52.23869,6.92994,4.898700683594311
5931,46B82F,,,2025-05-25T10:31:23.794074683+02:00,-61.47438490948893,zi-5110,,25250.0,52.26043,6.7952,4.894414124417775
11348,48978A,,,2025-05-25T10:58:10.302402195+02:00,-313.3899328312893,zi-5110,,25850.0,52.27281,6.90399,4.892144695848369
6976,48418D,,,2025-05-25T10:35:28.463046759+02:00,-96.51502473708432,zi-5110,,27450.0,52.2821,6.84357,4.892093599078791
11871,502D29,,,2025-05-25T11:00:29.237714625+02:00,-49.52877951252181,zi-5110,,26500.0,52.22835,6.78837,4.887475550149468
6768,48418D,,,2025-05-25T10:34:49.2502324+02:00,-159.43148998864686,zi-5110,,27900.0,52.23948,6.92955,4.872272292631574
11346,48978A,,,2025-05-25T10:58:09.863919474+02:00,-60.57598534072722,zi-5110,,25850.0,52.27277,6.90285,4.839408968180384
10137,407CB2,,,2025-05-25T10:48:45.925549564+02:00,-47.263093423939154,zi-5110,,37000.0,52.22509,6.92523,4.832763421867325
4532,48520D,,,2025-05-25T10:24:56.693980471+02:00,-161.43419712068442,zi-5110,,25650.0,52.28156,6.84456,4.820047386577674
6523,4CA8D5,,,2025-05-25T10:34:09.927662672+02:00,-61.30823761942599,zi-5110,,37000.0,52.22552,6.92505,4.806003999350857
15662,4BB02A,,,2025-05-25T11:30:24.816305511+02:00,-49.93896274453445,zi-5110,,25275.0,52.22472,6.92421,4.780529268415164
11344,48978A,,,2025-05-25T10:58:09.319062302+02:00,-341.4655912387074,zi-5110,,25850.0,52.27267,6.90132,4.765660152661093
6973,48418D,,,2025-05-25T10:35:27.370312525+02:00,-88.07440036696248,zi-5110,,27475.0,52.28096,6.84589,4.737978544467809
7477,4841A5,,,2025-05-25T10:36:45.796497678+02:00,-181.12357659896185,zi-5110,,27975.0,52.2399,6.92751,4.734107829790816
4183,48520D,,,2025-05-25T10:24:17.486010868+02:00,-177.76276325485043,zi-5110,,26800.0,52.24032,6.92743,4.729858201304352
5924,46B82F,,,2025-05-25T10:31:22.81417633+02:00,-54.94724742878391,zi-5110,,25275.0,52.25973,6.7974,4.725731240967082
6774,48418D,,,2025-05-25T10:34:50.2345952+02:00,-114.1735521038038,zi-5110,,27900.0,52.24054,6.92734,4.724544632938311
11688,502D29,,,2025-05-25T10:59:52.317720218+02:00,-43.43961325794695,zi-5110,,27650.0,52.20296,6.89461,4.720082114249061
11272,48978A,,,2025-05-25T10:57:41.139200465+02:00,-53.79823417176441,zi-5110,,25325.0,52.26834,6.80815,4.707227606143975
4524,48520D,,,2025-05-25T10:24:55.712408377+02:00,-181.9102800833422,zi-5110,,25675.0,52.28055,6.84654,4.685524098210512
11342,48978A,,,2025-05-25T10:58:08.771452364+02:00,-39.14779687287651,zi-5110,,25825.0,52.27258,6.89934,4.675475893859134
4188,48520D,,,2025-05-25T10:24:18.030682985+02:00,-46.39180962195805,zi-5110,,26775.0,52.24083,6.92633,4.6571007556336514
6967,48418D,,,2025-05-25T10:35:26.49513894+02:00,-143.62085503157263,zi-5110,,27475.0,52.28,6.84776,4.611955977084716
5663,46B82F,,,2025-05-25T10:30:33.767814989+02:00,-80.13051853070714,zi-5110,,26925.0,52.22225,6.91974,4.598849962762181
4193,48520D,,,2025-05-25T10:24:18.465620278+02:00,-205.5937742248048,zi-5110,,26775.0,52.24132,6.92535,4.593148821585495
6778,48418D,,,2025-05-25T10:34:51.214690587+02:00,-173.28084141069954,zi-5110,,27875.0,52.24157,6.92531,4.592062722175674
